AC Type,City,Cn/Ln,Country,Date,Location,Operator,Registration,Route,Summary,Time,Aboard,Aboard Crew,Aboard Passangers,Crashes,Fatalities,Fatalities Crew,Fatalities Passangers,Flight #,Ground
Convair CV-240,Wright,37, Wyoming,2/26/1954,"Wright, Wyoming",Western Airlines,N8407H,Salt Lake City - Cedar City - Rapid City,"After entering an area of severe turbulence and icing, the plane made a rapid descent and struck the ground at high speed. A sudden emergency of undetermined origin under adverse weather conditions resulting in rapid descent and impact with the ground at high speed.",12/30/1899 10:32:00 AM,9,3,6,1,9,3,6,314,0
Douglas C-47A-DL,Near St. Etienne de Tinee,9958, France,3/4/1954,"Near St. Etienne de Tinee, France",Military - U.S. Air Force,42-24096A,"Tripoli, Libya - Hahn, W Germany","The aircraft struck a mountain and disintegrated at an altitude of 8,000 ft. while en route. The accident occurred in snow and low overcast conditions. The plane had drifted off the prescribed course and no wind drift correction had been made.",12/30/1899 2:30:00 PM,20,2,18,1,20,2,18,,0
C-46,Dien Bien Phu,, South Vietnam,3/13/1954,"Dien Bien Phu, South Vietnam",Aigle Azur,,,Shot down.,,,,,1,,,,,
Lockheed 749A-79-33 Constellation,Kallang Airport,2554, Singapore,3/13/1954,"Kallang Airport, Singapore",British Overseas Airways,G-ALAM,Australia - London,"Crashed short of the runway, hit a wall, overturned and caught fire. Improper procedures used in landing.  Pilot fatigue.",12/30/1899 2:34:00 PM,40,9,31,1,33,2,31,,0
Douglas C-47A,Off Mackay,12360, Australia,3/14/1954,"Off Mackay, Australia",Queensland Airlines,VH-BBV,Mackay - Rockhampton,"One minute after taking off, the cargo plane crashed into the sea off Mackay.",12/30/1899 4:20:00 AM,2,2,0,1,2,2,0,,0
Fairchild C-110F,Near Lothian,10732, Maryland,3/19/1954,"Near Lothian, Maryland",Military - U.S. Air Force,51-7993,"Oklahoma - Long Island, NY",Crashed to the ground about 20 minutes after leaving Bolling Air Force Base. The aircraft was circling a radio beacon under VFR waiting for IFR clearance. An attempt to maintain VFR flight at night and in poor visibility.  Possible crew fatigue.,12/30/1899 10:30:00 PM,18,6,12,1,18,6,12,,0
Douglas DC-3,Monterrey,7358, Mexico,3/26/1954,"Monterrey, Mexico",Aeronaves de Mexico,XA-GUN,Mazatlan - Monterey,Crashed and burned on Friar's Peak in the Salinas mountains after being waved off for landing due to a dust storm.,,18,3,15,1,18,3,15,,0
Douglas DC-3,Kabassaak,19509, Turkey,4/3/1954,"Kabassaak, Turkey",Devlet Hava Yollari,TC-ARK,Adana - Istanbul,"Exploded in midair about 25 miles from Adana, 15 minutes after takeoff from Adana.",12/30/1899 1:40:00 PM,25,5,20,1,25,5,20,,0
Douglas C-54A,Hanoi,10341, Vietnam,4/4/1954,"Hanoi, Vietnam",Autrex,F-BFGQ,,The cargo plane crashed into the Red River while on final approach.,,4,4,0,1,4,4,0,,0
de Havilland DH106 Comet 1,Off Stromboli,6011, Italy,4/8/1954,"Off Stromboli, Italy","South African Airways, leased from British Overseas Airways",G-ALYY,Rome - Cairo,"The aircraft broke up in-flight and crashed into the sea en route from Rome to Cairo. Metal fatigue due to a design flaw led to the breakup of the aircraft.  This is the second accident with the same cause. The aircraft was nicknamed ""Yoke Yoke.""",12/30/1899 8:04:00 PM,21,7,14,1,21,7,14,201,0
Canadair C-4-1Argonaut / Harvard Mark II,Moose Jaw,150, Canada,4/8/1954,"Moose Jaw, SK, Canada",Trans Canada Air Lines / RCAF,CF-TFW/RCAF3309,Montreal - Vancouver,"Midair collision between a Canadair C-4-1 and a RCAF Harvard Mark II at 6,000 feet.  Thirty-five killed on the Canadair, one on the Harvard. Failure on the part of the pilots of both aircraft to maintain a proper lookout. The onus of responsibility for keeping out of the way being with the Harvard aircraft as it had the other on its own right side.",12/30/1899 10:03:00 AM,36,5,31,1,36,5,31,,1
Lockheed 18 Lodestar,Xieng Kouang,2603, Laos,4/13/1954,"Xieng Kouang, Laos",Societe Indochinoise de Raviteillement,F-OALK,,Stalled and crashed and burned during takeoff.,,23,3,20,1,16,3,13,,0
Douglas DC-3,Batuco,4470, Chile,4/13/1954,"Batuco, Chile",LAN,956,Santiago - Iquique,Shortly after taking off and climbing the plane crashed near Lake Batuco.,12/30/1899 1:10:00 PM,14,5,9,1,14,5,9,,0
Douglas DC-3,Sierra del Vilgo,12387, Argentina,4/23/1954,"Sierra del Vilgo, Argentina",Aerolineas Argentinas,LV-ACX,Mendoza - Cordoba,Crashed into a mountain during an approach. Deviation from prescribed course for unknown reasons. Crew fatigue may have played a part. The captain acted contrary to company policy regarding a required IFR approach.,12/30/1899 9:25:00 PM,25,4,21,1,25,4,21,,0
Douglas C-47A-30-DK,Near Calcutta,13792, India,4/30/1954,"Near Calcutta, India",Darbhanga Aviation,VT-DEM,,"The aircraft tried to return to the airport after the No. 1 engine failed on takeoff but was unable to maintain airspeed, stalled and crashed into a tree. Delay in feathering the No. 1 engine after failure. Improper emergency procedural errors by the pilot.",12/30/1899 9:18:00 AM,11,3,8,1,5,2,3,,0
Douglas DC-3,Paraparaumu,15948/32696, New Zealand,5/22/1954,"Paraparaumu, New Zealand",New Zealand National Airways,ZK-AQT,Churchchrist - Paraparaumu,Crashed onto a roadway from a height of 500 ft. and into a clump of trees.The crew used the wrong fuel selection configueration and the engines failed due to fuel starvation.,12/30/1899 9:23:00 AM,28,2,26,1,3,0,3,,0
Douglas DC-3,Cipo Mountain,19830, Brazil,5/31/1954,"Cipo Mountain, Brazil",Transportes Aereos Nacionales,PP-ANO,Governador Valadares - Belo Horizonte,The aircraft deviated from its normal course by 30 miles and struck the slope of Mt CipÃ³a. Navigational error. The minimum safety height for the route was not complied with.,,19,3,16,1,19,3,16,,0
Douglas C-47A,Near Maribor,11982, Slovenia,6/3/1954,"Near Maribor, Slovenia",Sabena,OO-CBY,"Blackbushe, UK - Beogard, Serbia",The cargo plane ran off the end of the runway and crashed after being attacked by a fighter jet.,,4,4,0,1,1,1,0,,0
Curtiss C-46A,Sao Paulo,30400, Brazil,6/4/1954,"Sao Paulo, Brazil",Varig,PP-VBZ,Sao Paulo - Porto Alegre,The cargo plane crashed on takeoff. Elevator lock was not removed prior to takeoff.,12/30/1899 11:00:00 AM,3,3,0,1,3,3,0,,0
Douglas C-47-DL,Da Nang,4464, Vietnam,6/8/1954,"Da Nang, Vietnam",Soc. de Tr. Aériens d'ExtrÃªme Orient,F-BCCL,Tourane - Saigon,Crashed en route under unknown circumstances..,,4,2,2,1,4,2,2,,0
Convair CV-240-4,Off Folkestone,61, England,6/19/1954,"Off Folkestone, England",Swissair,HB-IRW,Geneva - London,The plane ditched into the Atlantic Ocean after running out of fuel. Three non-swimming passengers drowned due to lack of lifesaving equipment aboard. Negligence of the crew in not monitoring the fuel situation as the flight progressed.,12/30/1899 11:00:00 PM,9,4,5,1,3,0,3,,0
Lockheed C-28,Near Salvador,, Brazil,7/2/1954,"Near Salvador, Brazil",Military - Brazilian Air Force,C-28-2901,,The aircraft crashed while attempting to take off. Engine failure at a critical stage in takeoff.,12/30/1899 12:00:00 PM,24,4,20,1,24,4,20,,0
Douglas DC-4,Off Hainan Island,10310, China,7/23/1954,"Off Hainan Island, China",Cathay Pacific Airways,VR-HEU,Singapore - Hong Kong - Bangkok,Ditched into the sea after being shot down by Chinese Lachovlin  La-7 military fighter aircraft. The survivors were rescued by the U.S. Air Force.,12/30/1899 8:45:00 AM,18,6,12,1,10,2,8,,0
Douglas DC-2,Near McGrath,13977/25422, Alaska,8/8/1954,"Near McGrath, Alaska",Alaska Airlines,N91008,McGrath - Colorado Creek,"The cargo plane flew into a mountain, 35 miles northeast of McGrath.",12/30/1899 3:40:00 PM,2,2,0,1,2,2,0,,0
Lockheed 749A-79 Constellation,Terceira Island,2664, Portugal,8/9/1954,"Terceira Island, Azores, Portugal",AVIANCA,HK-163,"Lajes, Azores - Bermuda","Crashed into mountains after poor weather diverted the flight from Santa Maria. Flew opposite to prescribed course after takeoff. Crew error. The failure of the pilot to carry out the normal climb out procedure following takeoff on a flight to Bermuda and his having made a turn to the left instead of to the right, thus flying into the mountains instead of turning out to sea.",12/30/1899 2:40:00 AM,30,9,21,1,30,9,21,,0
Douglas DC-3,Vietnam,,Vietnam,8/12/1954,Vietnam,Autrex,F-BSGS,Saigon - Hanoi,The cargo plane crashed en route.,,3,3,0,1,3,3,0,,0
Bristol 170 Freighter 21E,Near Pakse,12809, Laos,8/16/1954,"Near Pakse, Laos",Air Vietnam (South Vietnam),F-VNAI,Red River delta - Saigon,Crashed into the Mekong River while making an emergency landing after encountering engine failure. The aircraft was being used to evacuate families.,,55,4,51,1,47,1,46,,0
Douglas DC-3,Near Mason City,4630, Iowa,8/22/1954,"Near Mason City, Iowa",Braniff Airlines,N61451,Memphis - Minneapolis,"The aircraft crashed 16 miles south of Mason City, Iowa due to a loss of control after penetrating an area of thunderstorms during a go-around. The flight, while endeavouring to traverse a thunderstorm area, encountered very heavy rain, divergent winds, and strong downdrafts that forced the aircraft to the ground.",12/30/1899 5:03:00 PM,19,3,16,1,12,2,10,152,0
Douglas DC-6B,Off IJuuiden,43556/257, North Sea,8/23/1954,"Off IJuuiden, North Sea",KLM Royal Dutch Airlines,PH-DFO,Shannon - Amsterdam,Crashed into the North Sea in rain showers and heavy seas. Cause not determined.,12/30/1899 11:35:00 AM,21,9,12,1,21,9,12,,0
Lisunov LI-2,Sakhalin Oblast,6803, Russia,8/26/1954,"Sakhalin Oblast, Russia",Aeroflot,CCCP-L4679,Khabarovsk - Yuzhno-Sakhalinsk,The plane crashed in the mountains. Crew did not properly use the navigation equipment.,12/30/1899 10:50:00 AM,27,5,22,1,26,5,21,971,1
Convair RB-36H,Near Rapid City,, South Dekota,8/27/1954,"Near Rapid City, South Dekota",Military - U.S. Air Force,51-13722,Training,Crashed while making practice approaches to Ellsworth Air Force Base during its sixth attempt. The plane slammed into to ground with landing gear retracted and flaps set at 20 degrees.,12/30/1899 10:11:00 PM,27,4,23,1,26,3,23,,0
Lockheed 1049C-55-81 S Constellation,Foynes,4509, Ireland,9/5/1954,"Foynes, Ireland",KLM Royal Dutch Airlines,PH-LKY,Amsterdam - Shannon - New York,"Less than a minute after takeoff, the aircraft crashed into a mudbank of the Shannon River. Although the crash site was only about 2,500 metres from the airport, no one was aware of the disaster. Rescue operations were only started after the plane's navigator, after having crossed the river, managed to reach the airport. The aircraft was partially submerged, and at least one of the fuel tanks had ruptured during the crash. The fuel fumes rendered many passengers and crew unconscious, who then drowned in the rising tide. Failure of the captain to interpret his instrument indications properly during flap retraction after the gear was re-extended.",12/30/1899 2:39:00 AM,56,10,46,1,28,3,25,633,0
Douglas DC-3,Off Rio de Janeiro,19278, Brazil,9/12/1954,"Off Rio de Janeiro, Brazil",Cruzeiro,PP-CDJ,Sao Paulo - Rio de Janeiro,The plane was attemping to return to the Rio de Janeiro after severe vibrations in the No. 1 engine made the crew feather the prop.  While on final the aircraft came in too high and a go-around was attempted during which the plane crashed into the Guanabara Bay. Lack of reference to instruments after opening the throttle to go-around in restricted visibility.  Power may have been inadvertently reduced on the good engine.,12/30/1899 8:08:00 PM,26,4,22,1,6,0,6,,0
Vickers 634 Viking,Cairo,212, Egypt,9/15/1954,"Cairo, Egypt",Misrair,SU-AFO,Test,Stalled and crashed during a test flight.,,4,4,0,1,3,3,0,,0
Ilyushin IL-12, Novosibirsk,30 086, Russia,9/27/1954," Novosibirsk, Russia",Aeroflot,CCCP-L1365,Krasnoyarsk - Novosibirsk,"Crashed in fog while attempting to land. Crew error, landing in conditions below minimums.",12/30/1899 12:57:00 AM,29,5,24,1,29,5,24,10,0
Douglas C-47A-DL,Near Nice,20510, Italy,10/24/1954,"Near Nice, Italy",Military - U.S. Air Force,43-16044,Rome - Lyons,"Crashed in the Alps, 25 miles northeast of Nice, on the French/Italian border while en route. The instrument flight plan the pilot filed indicated a cruising height that was lower than the authorized minimum altitude required to clear the mountains.",12/30/1899 5:50:00 PM,21,3,18,1,21,3,18,,0
Ilyushin IL -12, Krasnoyarsk Territory,93013206, Russia,10/28/1954," Krasnoyarsk Territory, Russia",Aeroflot,CCCP-L1789,Krasnoyarsk - Irkutsk,Hit the east slope of Mt Sivukha  located 30 km from the Mana River in strong winds while en route. Crew error.,12/30/1899 12:10:00 AM,16,3,13,1,16,3,13,136,0
Lockheed R7V-1,Off Ocean City,4108, Maryland,10/30/1954,"Off Ocean City, Maryland",Military - U.S. Navy,128441,"Patuxent River NAS - Kenitra, Morocco","The aircraft disappeared approximately 300 miles east of Ocean City, Maryland and no trace of the wreckage or bodies was ever found.",12/30/1899 1:00:00 AM,42,21,21,1,42,21,21,57,0
Vickers 720 Viscount,Mangalore,44, Australia,10/31/1954,"Mangalore, Australia",TAA,VH-TVA,Training,"Crashed during takeoff. An error of judgement on the part of the pilot-in-command in that he took the aircraft into the air at a speed below the minimum control speed, following loss of directional control during the ground run.",12/30/1899 3:10:00 PM,8,8,0,1,3,3,0,,0
Douglas DC-3,Jirishanga,, Peru,11/16/1954,"Jirishanga,Cerro de Pasco, Peru",TAM (Brazil),FAP-403,Pucallpa - Lima,Disappeared over the Andes while en route. Wreckage found 12/04/1954.,,24,3,21,1,24,3,21,,0
Douglas DC-3,Berlin,11745, New Hampshire,11/30/1954,"Berlin, New Hampshire",Northeast Airlines,N17891,"Boston - Concord - Laconia - Berlin, NH",The aircraft crashed during an ILS approach to Berlin. Premature and unauthorized instrument descent to an altitude that did not permit terrain clearance.,12/30/1899 11:15:00 AM,7,4,3,1,2,2,0,792,0
Douglas DC-3,Near Luang Pragang,19211, Laos,12/4/1954,"Near Luang Pragang, Laos",Air Laos,F-BEIA,Luang Prabang - Nam Tha,Crashed in the jungle about 30 km north of Luang Prabang on the company's first commercial flight.,,29,4,25,1,29,4,25,,0
Douglas C-47A,Bratislava,12549, Slovakia,12/12/1954,"Bratislava, Slovakia",Ceskoslovenské Aerolinie,OK-WDK,Prague - Brno - Bratislava,"Hit the ground while making an approach to land. It is believed that the Pitot tubes heater system was OFF at the time of the accident, which cause several instruments to display wrong parameters, such the altimeters and the speed indicators.",12/30/1899 11:04:00 PM,4,4,0,1,4,4,0,,0
Douglas DC-6B,New York,44418/487, New York,12/18/1954,"New York, New York",Linee Aeree Italiane,I-LINE,Rome - New York City,"The plane crashed into approach lights of the runway during the fourth landing attempt at Idlewild Airport, sinking into Jamaica  Bay. An erratic approach which resulted in a descent to an altitude too low to avoid striking the pier. A contributing factor was pilot fatigue due to the particular and difficult circumstances including two and one-half hours in a holding pattern.",12/30/1899 2:00:00 PM,32,10,22,1,26,10,16,451,0
Douglas C-47A,Near Bolivar,19292, Venezuela,12/18/1954,"Near Bolivar, Venezuela",Linea Aeropostal Venezolana,YV-C-AMP,Bolivar - Tumeremo,The cargo plane crashed into a mountain while en route.,,2,2,0,1,2,2,0,,0
Douglas DC-3,Pittsburgh,20197, Pennsylvania,12/22/1954,"Pittsburgh, Pennsylvania",Johnson Flying Service,N24320,Newark - Pittsburgh - Colorado Springs,Ditched into the Monongahela River after running out of fuel. Inadequate flight planning. Contributing factors were inadequate crew supervision and training.,12/30/1899 11:00:00 PM,28,5,23,1,10,1,9,,0
Boeing B377-10-28 Stratocruiser,Prestwick,15943, Scotland,12/25/1954,"Prestwick, Ayrshire, Scotland",British Overseas Airways,G-ALSA,London - Prestwick - Shannon - Gander - New York,"Crashed short of the runway, landing hard. Pilot error. Errors of judgement on the part of the captain in starting his final approach to land at too steep an angle and flaring out too late and too severely with the result that the aircraft sank and hit the ground short of the runway.",,36,11,25,1,28,4,24,,0
Ilyushin II-14,Irkutsk,, Russia,12/31/1954,"Irkutsk, Russia",Aeroflot,,Beijing- Irkutsk - Tashkent - Nicosia,Crashed shortly after takeoff from Irkutsk-Magan Airport.,,17,3,14,1,17,3,14,,0
Douglas C47,Near Anchorage,, Alaska,1/1/1955,"Near Anchorage, Alaska",Military - US Air Force,,Anchorage - Nome,The pilot turned back to make an emergency landing at Skwentna Airport but hit a ridge a mile short of the runway.,,12,,,1,12,,,,0
Avro Shackleton M-2 / Avro Shakleton M-2,Off Skellings,, Ireland,1/11/1955,"Off Skellings, Ireland",Military -Royal Air Force,WG531 / Wl743,,Disappeared while on a training mission. Two planes collided in midair.,12/30/1899 9:00:00 PM,18,,,1,18,,,,0
Martin 202A / DC-3,Greater Cincinnati Airport,14081 / 4255, Kentucky,1/12/1955,"Greater Cincinnati Airport, Covington, Kentucky",Trans World Airlines / Castleton Inc.,N93211/N999B,Cincinnati - Cleveland,"Midair collision at 700-900 feet. The DC-3 entered the airport's control space without clearance or communication with the tower. Thirteen killed on the Martin, two crew on the DC-3.",12/30/1899 9:05:00 AM,15,5,10,1,15,5,10,,0
Grumman G-73 Mallard,London,, Canada,1/15/1955,"London, Ontario, Canada",Ontario Hydro,CF-GEU,Windsor - Toronto,"The aircraft, which had no wing anti-ice capability, flew into unexpected heavy freezing rain and ice, 4 inches thick formed. Needing an emergency landing at London, the pilot requested lights on all runways and approaches be turned on. This was not normally done as it might confuse pilots. This overloaded the lighting circuit and blew a fuse. The plane crash-landed short of the runway and the pilot said it became so hard to control the aircraft that the absence of lights may not have mattered. One passenger died of his injuries almost 30 hours later.",12/30/1899 12:05:00 AM,5,2,3,1,1,0,1,,0
Convair CV-340,Des Moines,180, Iowa,1/19/1955,"Des Moines, Iowa",United Air Lines,N73154,Newark - Des Moines - Lincoln,Almost complete loss of elevator control and severe vibration was experienced shortly after taking off from Des Moines. The plane when into a steep climb and almost stalled but the captain applied full power and went into a steep dive. The captain then reduced power and headed for open country where the aircraft safely made an emergency wheels up  landing in a corn field.  A series of omissions made by maintenance personnel during a scheduled inspection which resulted in the release of the aircraft in an unairworthy condition and an almost complete loss of elevator control during flight.,12/30/1899 4:25:00 PM,39,3,36,1,0,0,0,329,0
Consolidated PBY-5 Catalina,Lapadrera,, Colombia,1/31/1955,"Lapadrera, Colombia",Interamericana de Aviacion,HK-1000E,Bogota - Villavicencio - Mitu - La Pedrera,The cargo plane crashed into the Caqueta river while attempting to land.,,5,1,4,1,5,1,4,,0
Douglas DC-3,Nagpur,13037, India,2/2/1955,"Nagpur, India",Indian Airlines,VT-CVB,Nagpur - Delhi,"Crashed into a field shortly after takeoff. The aircraft crashed as a result of slipping into the ground in the course of a poorly executed steep turn to port, carried out at night at a low altitude.",12/30/1899 3:50:00 AM,10,4,6,1,10,4,6,,0
Bristol 170 Freighter 21E,Near Calabar,12779, Nigeria,2/5/1955,"Near Calabar, Nigeria",West African Airways,VR-NAD,Enugu - Calabar,Crashed shortly after taking off after a wing failed. A design flaw in the wing led to fatigue cracks and wing failure.,12/30/1899 10:04:00 AM,13,4,9,1,13,4,9,,0
Douglas DC-6,Abruzzio Mountains,43063/60, Italy,2/13/1955,"Abruzzio Mountains, Italy",Sabena,OO-SDB,Brussels - Rome,Crashed into a mountain while on approach. Navigational error due to failure to use radio equipment.,12/30/1899 7:53:00 PM,29,8,21,1,29,8,21,,0
Martin 404,Albuquerque,14120, New Mexico,2/19/1955,"Albuquerque, New Mexico",Trans World Airlines,N40416,Albuquerque - Sante Fe,"After taking off from Albuquerque, the aircraft flew a path directly towards Sandia Mountain and crashed into it.  While initially blaming the pilots of intentionally flying the plane into the mountain, five years later, the CAB changed the probable cause to ""deviation from course for reasons unknown"" and admitted there may have been a problem with the flux gauge compass.",12/30/1899 7:31:00 AM,16,3,13,1,16,3,13,260,0
Douglas DC-3,Salisbury,15109/26554,  Zimbabwe,2/23/1955,"Salisbury,  Zimbabwe",Central African Airways,VP-YKO,Salisbury - Lusaka,The pilot began taking off and retracted the landing gear when smoke was observed in the cockpit. He attempted to belly land the plane. The propellers separated and penetrated the fuselage killing the fight engineer. The presence of smoke in the flight crew compartment in sufficient quantity to make the captain apprehensive of fire and to cause him to land the aircraft immediately with the landing gear retracted. A fractured rubber hose on the port engine connecting the rocker box of one of the lower cylinders to the collector box caused smoke to enter the wheel well and into the crew compartment.,12/30/1899 9:20:00 AM,26,5,21,1,1,1,0,626,0
de Havilland DH.104 Dove,Formosa,4094, Argentina,2/26/1955,"Formosa, Argentina",de Havilland Dove,LQ-XWW,,The aircraft was not able to get airborne and hit the end marker of the runway then hit the airport fence. Use of spark plugs inappropriate to the engine type. Overloaded.,12/30/1899 3:50:00 PM,7,3,4,1,6,2,4,,
Douglas DC-3,Vitoria da Conquista,11699, Brazil,3/6/1955,"Vitoria da Conquista, Brazil",REAL,PP-YPZ,,"After an aborted landing attempt due to a unlocked landing gear, the plane made a left turn, hit a pole, crashed and burned. Pilot error. Improper use of the throttles by the crew following the go-around. Failure of the landing gear locking mechanism.",,21,3,18,1,5,1,4,,0
Lockheed 18 LodeStar,Near Cuidad de Valles,, Mexic,3/7/1955,"Near Cuidad de Valles, Mexic",Private,XB-ZEH,Tampico - Mexico City,"While cruising by night, the twin engine aircraft hit the slope of the Cerro El Sabino located near Ciudad Valles.",,6,2,4,1,6,2,4,,
Douglas DC-3,Mascota,3992, Mexico,3/8/1955,"Mascota, Mexico",Mexicana,XA-DIK,Puerto Vallarta - Talpa de Allende - Mascota - Guadalajara,the airplane hit the slope of the Cerro del Cabre located about 20 km northwest of the airport.,12/30/1899 1:40:00 PM,26,3,23,1,26,3,23,591,0
Douglas C-47A,Trujillo,20224, Colombia,3/9/1955,"Trujillo, Colombia",AVIANCA,HK-328,Condoto - Cali,The cargo plane crashed with a gold and platinum shipment aboard. Wreckage found one month later.,12/30/1899 3:15:00 PM,8,3,5,1,8,3,5,,0
Convair CV-240-0,Springfield,66, Missouri,3/20/1955,"Springfield, Missouri",American Airlines,N94234,Newark - Chicago - St. Louis - Springfield - Tulsa,The plane crashed 1.25 miles short of the runway while attempting to land. Crew's inattention to flight instruments during approach. Pilot sensory illusion which gave a  false impression of the aircraft's altitude.,12/30/1899 10:36:00 PM,35,3,32,1,13,2,11,711,0
Douglas R6D-1 (C-118B),Oahu,43715, Hawaii,3/22/1955,"Oahu, Hawaii",Military - U.S. Navy,131612,Tokyo - Hickam - Travis,"The aircraft returned to Hickam Airfield because of inoperative high-frequency radio transmitters. As the plane was descending to land, it crashed into Pali Kea peak, 15 miles northwest of Honolulu. Navigational error by the crew brought the plane 8 miles north of its intended position.",12/30/1899 2:03:00 AM,66,9,57,1,66,9,57,,0
Boeing 377 Stratocruiser 10-26,Off the Oregon coast,15932,Off the Oregon coast,3/26/1955,Off the Oregon coast,Pan American World Airways,N1032V,Portland - Honolulu,"The plane ditched 35 miles off the Oregon coast after the No. 3 engine and propeller broke away causing severe control difficulties. The plane sank after 20 minutes. Loss of control and inability to maintain altitude following failure of the No. 3 propeller which resulted in wrenching free the No. 3 power  package. The aircraft was named ""Clipper United States.""",12/30/1899 11:12:00 AM,23,8,15,1,4,2,2,,0
Curtiss C-46A,Off Pensacola,30430, Florida,4/2/1955,"Off Pensacola, Florida",Aaxico Airlines,N51424,"Mobile, AL - Macon, GA",The cargo plane flew into a thunderstorm and crashed into the sea  in the Gulf of Mexico while en route.,,2,2,0,1,2,2,0,,0
Douglas DC-6,Islip,43001/32, New York,4/4/1955,"Islip, New York",United Air Lines,N37512,Training,"Suddenly dove into the ground. Unintentional movement of no.4 throttle into the reverse range just before breaking ground, with the other three engines operating at high power output, which resulted in the aircraft very quickly becoming uncontrollable once airborne.",12/30/1899 3:55:00 PM,3,3,0,1,3,3,0,,0
Lockheed 749A Constellation,Off Great Natuna Island,2666, Sarawak,4/11/1955,"Off Great Natuna Island, Sarawak",Air India,VT-DEP,Hong Kong - Jakarta,"An explosion occurred at 18,000 feet while over the China Sea. A resulting fire which started on the starboard wing soon spread and eventually led to total hydraulic and electrical failure. Smoke filled the cockpit and the plane crashed. An act of political terrorism.  An aircraft worker placed an incendiary device in the starboard wheel wella by an airport worker. The plane was named ""Kashmir Princess.""",12/30/1899 5:30:00 PM,19,8,11,1,19,8,11,,0
de Havilland DH-114 Heron 1B,Kupe Mountains,14010, Cameroons,4/18/1955,"Kupe Mountains, Cameroons",Union des Transportes Aeriens,F-BGOI,Yaounde - Douala,The aircraft hit the slope of Mt Koupé located about 80 km north of Douala. Wreckage found after 10 months.,,14,4,10,1,12,3,9,,0
Douglas DC-3,Mt. Kilimanjaro,16820/33568, Kenya,5/18/1955,"Mt. Kilimanjaro, Kenya",East African Airways,VP-KKH,Dar-es-Salaam - Nairobi,Crashed after reporting being over Jipe Lake on the slopes of Mt. Kilimanjaro. Failure to follow prescribed route and procedures.,12/30/1899 11:56:00 AM,20,4,16,1,20,4,16,,0
Douglas C-47-DL,Off Barcelona,4791, Venezuela,5/21/1955,"Off Barcelona, Venezuela",Linea Aeropostal Venezolana,YV-C-ALU,Caracas - Barcelona,Ditched into the sea a few km from shore.,,16,3,13,1,4,0,4,,0
Avro 685 York C-1,Edmonton,MW237, Canada,5/26/1955,"Edmonton, Alberta, Canada",Associated Airways,CF-HMY,,"The attempt of the pilot to takeoff under the prevailing unfavorable conditions. As a result, the aircraft hit an instrument landing building and crashed into a rail yard.",12/30/1899 2:27:00 PM,2,2,0,1,2,2,0,,0
Douglas C-54A,Fort Lamy,10292, Cameroon,6/3/1955,"Fort Lamy, Cameroon",Union Aéromaritime de Transport,F-BFVT,Douala - Fort Lamy,The cargo plane crashed while attempting to land.,,3,3,0,1,3,3,0,,0
Lockheed 049-46-21 Constellation,Near Asuncion,2032, Paraguay,6/16/1955,"Near Asuncion, Paraguay",Panair do Brasil,PP-PDJ,Sao Paulo - Asuncion,Crashed on final approach. Pilot fatigue. The pilot did not follow the recommended procedure for instrument final approach and he descended below the height prescribed in the final approach chart.,12/30/1899 1:15:00 AM,24,10,14,1,16,7,9,,0
Curtiss C-46,Leon,, Mexico,6/18/1955,"Leon, Mexico",Tigres Voladores,XA-LID,Leon - Mexico City,Lost an engine on takeoff and crashed into trees and caught fire.,,39,3,36,1,18,0,18,,0
Douglas DC-2-243,Oaxaca,2088, Mexico,7/14/1955,"Oaxaca, Mexico",Lineas Areas Unidas,XA-DOB,Acapulco - Oaxaca,Crashed in a mountainous area located 39 km from the airport in the Zimathan district while en route.,12/30/1899 3:45:00 PM,22,3,19,1,22,3,19,,0
Convair CV-340-32,Chicago,71, Illinois,7/17/1955,"Chicago, Illinois",Braniff Airlines,N3422,"Kansas City, MO - Chicago","While on instrument approach, the aircraft hit a sign and crashed through the airport boundry fence.  Momentary disorientation caused by the loss of visual reference during the final visual phase of the approach resulting in an increased rate of descent at an altitude too low to effect recovery.",12/30/1899 6:24:00 AM,43,3,40,1,22,2,20,560,0
Lockheed 049 Constellation,Near Petrich,1968, Bulgaria,7/27/1955,"Near Petrich, Bulgaria",El Al,4X-AKC,London - Paris - Vienna - Tel Aviv,"On a flight from London, England to Tel Aviv, the aircraft drifted over Bulgarian airspace and was shot down by Bulgarian jet fighters. A navigational error that probably originated with an incorrect radio compass indication due to the effects of thunderstorm activity in the area.",12/30/1899 7:38:00 AM,58,7,51,1,58,7,51,,0
Convair CV-240-0,Fort Leonard Wood,40, Missouri,8/4/1955,"Fort Leonard Wood, Missouri",American Airlines,N94221,"Springfield, IL - St. Louis, MO",The aircraft attempted an emergency landing at a military airstrip after fire broke out in the No. 2 engine. The right wing separated from the aircraft and crashed 1.5 miles from the runway. Installation of an unairworthy cylinder in the No. 2 engine which resulted in an uncontrollable fire and loss of the right wing.,12/30/1899 12:23:00 PM,30,3,27,1,30,3,27,476,0
Aeroflot,Near Voronezh,4340408, Russia,8/5/1955,"Near Voronezh, Russia",Aeroflot,L5057,Starllingrad - Moscow.,The right engine caught on fire due to a fuel leak leading to distruction of the plane in the air.,12/30/1899 3:18:00 PM,25,5,20,1,25,5,20,214,0
